text,edit_history_tweet_ids,created_at,id,lang,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
"Whack raw asparagus with a rolling pin, then douse it in a lemony vinaigrette. https://t.co/EGMY2T8dj4",['2043269747228524744'],2026-04-12T10:07:24.000Z,2043269747228524744,en,2043269747228524744,0,0,4,0,0,3297,epicurious
"Learn how to make salmon en papillote (parchment paper salmon) with spring vegetables and a bright lemon-dill vinaigrette for an elegant, fuss-free meal. https://t.co/77LxtAH7or",['2041760874399137813'],2026-04-08T06:11:41.000Z,2041760874399137813,en,2041760874399137813,0,0,3,0,3,2612,epicurious
"Thinly sliced and cooked hot and fast, pork tenderloin is the juicy, cook-quicking weeknight champion of this vegetable-heavy stir-fry. https://t.co/D9GY6BocXg",['2041753319329427958'],2026-04-08T05:41:39.000Z,2041753319329427958,en,2041753319329427958,0,0,3,0,2,2197,epicurious
"Tender, moist chocolate cupcakes stained with Earl Grey tea and topped with a brilliant magenta frosting made from fresh blackberries. https://t.co/8O9IhQJ9C7",['2041745764523897173'],2026-04-08T05:11:38.000Z,2041745764523897173,en,2041745764523897173,0,1,2,0,1,2338,epicurious
"This lasagna soup delivers rich, baked-pasta flavor without an oven. Made with Italian sausage and spinach, it’s a fast, weeknight-friendly take on the classic. https://t.co/gjyblW2Cyy",['2041738209538011556'],2026-04-08T04:41:37.000Z,2041738209538011556,en,2041738209538011556,0,0,0,0,1,2513,epicurious
Chopped kimchi and soy sauce transform mellow tuna salad into your new favorite riff on the classic diner sandwich. https://t.co/JUNImrSILX,['2041730656267624565'],2026-04-08T04:11:36.000Z,2041730656267624565,en,2041730656267624565,1,0,3,0,2,2495,epicurious
Like “absolutely decadent” chocolate pudding and fattoush salad. https://t.co/jDcxKM2s2W,['2040339461301825580'],2026-04-04T08:03:29.000Z,2040339461301825580,en,2040339461301825580,0,1,4,0,2,2715,epicurious
"For Derby Day indulgence or a post-Thanksgiving lunch, this Kentucky classic can’t be beat. https://t.co/w4fJofnZJD",['2040127557337850319'],2026-04-03T18:01:28.000Z,2040127557337850319,en,2040127557337850319,0,0,1,0,1,2949,epicurious
A strip of lemon zest balances this refreshing spring classic. https://t.co/OaCBDlsLYH,['2039794134618350042'],2026-04-02T19:56:33.000Z,2039794134618350042,en,2039794134618350042,0,0,1,0,0,2141,epicurious
A birthday favorite in the Bon Appétit Test Kitchen. https://t.co/Xza7mQgM4h,['2039285120176357425'],2026-04-01T10:13:55.000Z,2039285120176357425,en,2039285120176357425,2,0,2,0,2,2303,epicurious
Every salad should have pita chips. https://t.co/Rqg7Sjnh3V,['2036910611955933530'],2026-03-25T20:58:28.000Z,2036910611955933530,en,2036910611955933530,0,0,2,0,0,2423,epicurious
"With a gingery egg drop, lots of kale, and toast on the side. https://t.co/bzTPcW3xF2",['2036732667757277468'],2026-03-25T09:11:23.000Z,2036732667757277468,en,2036732667757277468,0,0,4,0,1,2374,epicurious
A halfway-homemade pastry to wow anyone. https://t.co/lg4dng518a,['2036090335345205467'],2026-03-23T14:38:59.000Z,2036090335345205467,en,2036090335345205467,0,0,3,0,1,1991,epicurious
"You’ll enjoy this dish here, there, and everywhere. https://t.co/mkYAalrCOI",['2036082780392808472'],2026-03-23T14:08:58.000Z,2036082780392808472,en,2036082780392808472,0,1,2,0,0,1930,epicurious
"The golden, crunchy corners are worth fighting over. https://t.co/kojmGbPD4g",['2036075350833406230'],2026-03-23T13:39:26.000Z,2036075350833406230,en,2036075350833406230,2,0,2,0,1,1821,epicurious
Roasted radishes for the win. https://t.co/HNMfGrp1QR,['2036067794350120995'],2026-03-23T13:09:25.000Z,2036067794350120995,en,2036067794350120995,0,0,1,0,0,2194,epicurious
"Serve it with warm pita, rice, or chips for an under-30-minute dinner. https://t.co/ij34IAWRkj",['2036060239221739626'],2026-03-23T12:39:23.000Z,2036060239221739626,en,2036060239221739626,0,0,3,0,2,1822,epicurious
"Biscuits and gravy, but make it spring. https://t.co/D2dq0nnU16",['2036052493982204330'],2026-03-23T12:08:37.000Z,2036052493982204330,en,2036052493982204330,0,0,2,0,0,2033,epicurious
This quick-cooking dish that will disappear as fast as it comes together. https://t.co/uoChIVMmka,['2036044938954346697'],2026-03-23T11:38:35.000Z,2036044938954346697,en,2036044938954346697,0,0,4,0,0,1987,epicurious
This brothy bowl will nourish you from the inside out. https://t.co/KcGaroWRKO,['2036037383641272644'],2026-03-23T11:08:34.000Z,2036037383641272644,en,2036037383641272644,1,0,3,0,1,2047,epicurious
"Crispy, Parmesan-crusted cutlets make this spring dish sing. https://t.co/V9qRbnjGqY",['2036029829100032058'],2026-03-23T10:38:33.000Z,2036029829100032058,en,2036029829100032058,0,0,3,0,0,2108,epicurious
Not stuffed shells. But not not stuffed shells either. https://t.co/KgYHFL932O,['2036022274441244914'],2026-03-23T10:08:32.000Z,2036022274441244914,en,2036022274441244914,0,0,1,0,0,2301,epicurious
"All pizza toppings welcome, especially pickled peppers, olives, maybe an anchovy or 10. https://t.co/1DkoeUAHx1",['2035690483104756159'],2026-03-22T12:10:07.000Z,2035690483104756159,en,2035690483104756159,0,1,1,0,1,2531,epicurious
"Low effort, big flavor, and ready in under an hour. https://t.co/dot9pJFrPP",['2034674650194878908'],2026-03-19T16:53:33.000Z,2034674650194878908,en,2034674650194878908,1,0,2,1,0,1964,epicurious
A veg-forward main or gets-along-with-everyone side. https://t.co/P2UEDIym1J,['2034225619186430037'],2026-03-18T11:09:16.000Z,2034225619186430037,en,2034225619186430037,2,0,4,0,4,2325,epicurious
A why-didn't-I-think-of-that technique takes this classic from great to greater. https://t.co/mFtt1YyTYc,['2033848375695839480'],2026-03-17T10:10:14.000Z,2033848375695839480,en,2033848375695839480,1,0,2,0,0,2585,epicurious
A glug of lemon-lime soda gives this pound cake a citrusy zip and tender crumb. https://t.co/nr4IWSJMIY,['2033636307906531436'],2026-03-16T20:07:33.000Z,2033636307906531436,en,2033636307906531436,0,0,1,0,1,2309,epicurious
"Use this classic lemon curd on scones, in yogurt, or between layers of meringue. https://t.co/cd7V3KX2TP",['2033603570202030486'],2026-03-16T17:57:28.000Z,2033603570202030486,en,2033603570202030486,0,0,2,0,1,2117,epicurious
Like airy lemon chiffon cake and a Cadbury egg–inspired tart. https://t.co/FS3ua8apRC,['2033153917174051115'],2026-03-15T12:10:42.000Z,2033153917174051115,en,2033153917174051115,0,0,8,0,2,3519,epicurious
Like seared scallop piccata and chocolate Guinness cake. https://t.co/fE43zZwft1,['2030209258785210568'],2026-03-07T09:09:41.000Z,2030209258785210568,en,2030209258785210568,1,1,6,0,2,2965,epicurious
"This vegan chili skips the meat but keeps all of the smoky-savory flavors that make it so comforting: cocoa powder, beans, and all of the toppings. https://t.co/HaM9JEfC7z",['2030028531644969283'],2026-03-06T21:11:32.000Z,2030028531644969283,en,2030028531644969283,0,0,1,0,0,2579,epicurious
"Dressed in a spiced yogurt, with ginger and garlic, then roasted until caramelized and tender. https://t.co/fVyessVc77",['2029679040303616251'],2026-03-05T22:02:47.000Z,2029679040303616251,en,2029679040303616251,0,1,1,0,0,2699,epicurious
"A warmly spiced Ashkenazi charoset, perfect for your Passover seder—or spooned over yogurt the next morning. https://t.co/C0O1nqPvaE",['2028903653340565680'],2026-03-03T18:41:40.000Z,2028903653340565680,en,2028903653340565680,0,1,4,0,0,2449,epicurious
A generous glug of stout gives this snackable loaf a malty depth. https://t.co/IuxvLjGkWp,['2028080170276696122'],2026-03-01T12:09:27.000Z,2028080170276696122,en,2028080170276696122,0,0,0,0,0,3370,epicurious
"Think a Hugo spritz, a gin basil smash, and plenty more patio-ready pours. https://t.co/6SQt0TczPC",['2027778078697750728'],2026-02-28T16:09:02.000Z,2027778078697750728,en,2027778078697750728,1,0,1,0,1,2947,epicurious
Turn inky black rice into a dreamy coconut milk pudding you’re fully authorized to enjoy for breakfast or dessert. https://t.co/OtjYs2jDTu,['2027084036884308208'],2026-02-26T18:11:10.000Z,2027084036884308208,en,2027084036884308208,1,1,1,0,0,2362,epicurious
Grab your Easter basket and hop in—you’ll want to collect each and every one of these fun and easy Easter recipes. https://t.co/P5VJXpUot1,['2026785070447735077'],2026-02-25T22:23:11.000Z,2026785070447735077,en,2026785070447735077,2,0,2,0,1,2378,epicurious
A make-ahead pantry salad that's friendly on the wallet too. https://t.co/XY0MCe3Mya,['2026630177649021298'],2026-02-25T12:07:41.000Z,2026630177649021298,en,2026630177649021298,0,0,0,0,0,2608,epicurious
From oven risotto with crispy mushrooms to green curry vinegar chicken. https://t.co/irGT5ieLAQ,['2025890720893280698'],2026-02-23T11:09:21.000Z,2025890720893280698,en,2025890720893280698,2,1,4,0,4,2865,epicurious
Put that half-full tub to use with recipes that go beyond the Italian-American classics. https://t.co/m0YUdqxVAj,['2025573110519660599'],2026-02-22T14:07:17.000Z,2025573110519660599,en,2025573110519660599,0,0,2,0,2,3420,epicurious
