id,lang,text,edit_history_tweet_ids,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2042740752036643305,en,"As of this week, Little Spoon has officially surpassed $1M in weekly sales at Target in under six months.

Little Spoon is building on this momentum by expanding its Target assortment with six new snack SKUs.

The launch includes Fruit + Veggie Mini Bites, Toddler Stellar Puffs, https://t.co/IC87HN7eUk",['2042740752036643305'],2026-04-10T23:05:22.000Z,2042740752036643305,1,1,19,0,2,2181,,cpgwire
2042636779174727789,zxx,https://t.co/TKeuGL28Sv,['2042636779174727789'],2026-04-10T16:12:13.000Z,2042636592251388148,0,2,1,0,1,369,1429526427754549248,cpgwire
2042636592251388148,en,"Dairy Farmers of America just launched MULU, a protein-packed cottage cheese brand.

With 18g of protein per serving — 33% more protein than the leading cottage cheese brand — MULU enters the market as the highest-protein cottage cheese brand available nationally.

MULU is https://t.co/RWgOS2DUzg",['2042636592251388148'],2026-04-10T16:11:28.000Z,2042636592251388148,2,1,19,2,7,6297,,cpgwire
2042310900259176695,en,"Frozen fruit pop maker HUNDY! just unveiled a colorful brand refresh. The company worked with the talented folks at Interact Brands who also facilitated the Grüns brand refresh. 

HUNDY! also announced that NBA star Trae Young recently joined the company as an investor and brand https://t.co/WugNBYefUR",['2042310900259176695'],2026-04-09T18:37:17.000Z,2042310900259176695,1,0,11,0,2,1749,,cpgwire
2042269793378767170,en,"Dos Hombres, the mezcal brand created by Aaron Paul &amp; Bryan Cranston, just expanded into the tequila category with three varieties: 

- Blanco
- Reposado 
- Añejo

Dos Hombres closed a $15M growth equity round in November. https://t.co/fX7ROcVMqq",['2042269793378767170'],2026-04-09T15:53:56.000Z,2042269793378767170,1,0,9,1,3,2115,,cpgwire
2042236165999431776,en,"Unilever is acquiring fast-growing VMS brand Grüns for an undisclosed sum. 

Founded in 2023 by Chad Janis, Grüns has become one of the largest brands in the U.S. Greens Supplement category. The company has also expanded into new categories like immunity, children’s nutrition, https://t.co/jHvqp4ixyx",['2042236165999431776'],2026-04-09T13:40:19.000Z,2042236165999431776,6,19,187,33,43,134761,,cpgwire
2042213994166141255,en,"Froot Pops, a fast-growing purveyor of chocolate covered frozen fruit, closed a £1.1M seed funding round.

Investors include Justin King, Giles Brook, Lior Shiff, Active Partners, Graph Ventures, and several others.

Founded in 2024 by Ana Martins and Mark Jones, UK-based Froot https://t.co/gKadyZTdW4",['2042213994166141255'],2026-04-09T12:12:13.000Z,2042213994166141255,0,0,10,0,2,1927,,cpgwire
2041920387785879995,en,"Kids’ snack startup Cadootz! closed a $3M seed round led by Selva Ventures. The company is also gearing up to launch at a major nationwide retailer in two months.

Cadootz! debuted in January with an organic, nutrient-dense cracker line. Each serving delivers 5g of protein and https://t.co/uPNtB9mtr9",['2041920387785879995'],2026-04-08T16:45:32.000Z,2041920387785879995,2,2,11,0,0,2106,,cpgwire
2041899096982925750,en,Esspo is now available storewide at Whole Foods Market. https://t.co/WQjVN239nN,['2041899096982925750'],2026-04-08T15:20:56.000Z,2041899096982925750,0,1,7,0,1,3139,,cpgwire
2041887613997728158,en,"MUSH just debuted at nearly every Starbucks coffeehouse in the U.S.

The ready-to-eat overnight oats brand will also launch at 7-Eleven later this month, bringing its total store count to over 36,000.

Since launching in 2015, MUSH has sold more than 200 million cups and https://t.co/pTNZPOrk5K",['2041887613997728158'],2026-04-08T14:35:18.000Z,2041887613997728158,2,1,30,2,4,9874,,cpgwire
2041654362578284692,en,"GoodPop, an Austin-based leader in the better-for-you frozen treats space, just launched its Fruit Sours line.

The Fruit Sours line features a real fruit base and a patent pending sour candy coating.

Four flavors — Cherry, Melon, Green Apple, and Lemonade — can be found at https://t.co/ZorqtUQxj3",['2041654362578284692'],2026-04-07T23:08:26.000Z,2041654362578284692,0,1,21,0,4,2708,,cpgwire
2041564405121303032,en,"The new Chicken Sticks line from Chomps just debuted online and in-store at Target.

Each stick delivers 12g of protein, 80 calories, and zero sugar.

Three flavors are available:

🍗 Original Chicken
🌶️ Nashville Hot
🍳 Savory Breakfast https://t.co/Nu9XnCBOUu",['2041564405121303032'],2026-04-07T17:10:59.000Z,2041564405121303032,1,1,23,1,3,3733,,cpgwire
2041492210894487599,zxx,https://t.co/SIMlbudEka,['2041492210894487599'],2026-04-07T12:24:06.000Z,2041492143806595471,0,0,0,0,0,339,1429526427754549248,cpgwire
2041492143806595471,en,"Bullish announced an investment in Singing Pastures, a producer of pasture-raised meat sticks made with bone broth and collagen.

Singing Pastures was co-founded by Holly &amp; John Arbuckle.

Bullish previously backed Warby Parker, Harry's, Hu, Bubble, and several other brands. https://t.co/2jDJ9IXCyE",['2041492143806595471'],2026-04-07T12:23:50.000Z,2041492143806595471,1,1,15,0,2,2024,,cpgwire
